insert into places(address_line_one, address_line_two, notes) VALUES ('442 Wrinkleproof Meadow', 'Boulevard, Mt, 41120', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2829 Marathoner Bypas', 'Camillus, Mi, 96712', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('391 Sibeal Knoll', 'Cottage grove, Ut, 93998', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1747 Cylinder Plz', 'Purchase, Oh, 33465', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2966 Lmc Shoals', 'Red feather lakes, As, 46975', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('128 Echiuroidea Boulv', 'Burlison, Ky, 27495', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2299 Encave Frway', 'Kiowa, Dc, 63630', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2071 Machinule Pln', 'Stockdale, Ms, 31836', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2396 Unwrote Kys', 'Coventry, Co, 60668', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2072 Unstranded Pnes', 'Danville, Ri, 85995', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1138 Whiled Squares', 'Stuyvesant falls, Ne, 71962', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1142 Politico Hbr', 'Santa margarita, Mi, 42703', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2152 Brightening Brnch', 'Apg, Pa, 33121', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1990 Subintimal Mill', 'Guinda, Or, 28048', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('357 Plumes Shoals', 'Gober, Ks, 93079', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1952 Irascible Wells', 'Armbrust, Ga, 55379', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2738 Chester Mdws', 'Minot, Wa, 87075', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('498 Half-annoyingly Walk', 'Kalkaska, Nd, 41850', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1493 Mooted Plz', 'Latty, Nd, 28235', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1522 Agentess Plza', 'Belfast, Me, 96180', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1370 Many-steepled Parkways', 'Sumrall, Ne, 34664', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('785 Betz Roads', 'Railroad, Fm, 97715', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('226 Longish Rapids', 'Cochiti lake, Il, 84187', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2809 Panatella Falls', 'West hollywood, Me, 49441', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1286 Superimplied Gatewy', 'Fults, Me, 70939', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('561 Notiosorex Canyon', 'Wyndmere, Mn, 51040', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1944 Abreption Centre', 'Pauline, Ri, 44941', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1051 Aves Cmp', 'River forest, Ut, 94075', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1401 Twi-formed Viaduct', 'East montpelier, Sd, 43990', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('638 Unalleviated Mnrs', 'Souderton, Nv, 73516', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1661 Acclaimers Loaf', 'Parkton, Ok, 18970', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1550 Osteen Ave', 'Reynoldsburg, Vt, 63893', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('755 Hiroshi Shores', 'Oberlin, Ca, 31395', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1889 Outhouse Mntns', 'Thomas, Md, 44390', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1576 Autochanger Sqre', 'Pataskala, Ae, 87249', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2679 Awedly Mnrs', 'Ocheyedan, , 10412', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('373 Vowels Dam ', 'Palo alto, Fm, 48878', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2615 Much-engrossed Cv', 'Astatula, Nv, 64485', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('377 Sulphmethemoglobin Trlr', 'Copper city, Pr, 51803', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1415 Kashoubish Clfs', 'Attleboro falls, Id, 88828', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2536 Proverbiology Prk', 'Shelley, Nm, 70613', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1383 Cloth-cutting Squ', 'Uriah, Ri, 13400', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1706 Scoured Ter', 'Madisonville, , 54424', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('803 Cognizing Shl', 'Leeton, Ne, 67517', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('101 Browned Fld', 'Waterford works, Nd, 72433', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('247 Coinmates Strvn', 'East templeton, Ak, 63361', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1172 Wagnerian Cmp', 'Reliance, Sd, 61406', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2020 Lightsomely Row', 'Forest, , 68352', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1055 Lories Prt', 'Hoehne, Il, 21743', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1537 Kerchiefed Knl', 'Black hawk, La, 58769', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1404 Melomane Pass', 'Lake ann, Nd, 35722', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1993 Arachnidial ', 'Los alamos, Mt, 51377', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('565 Dogmatician Clf', 'Corryton, Tx, 63471', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2932 Concentre Mountains', 'Soper, Ma, 68500', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1367 Scaleback Vlgs', 'Bowbells, Fm, 70250', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('995 Vacandi Cliff', 'Carlinville, , 46418', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('734 Epepophysial Vdct', 'Capitol, , 80316', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('308 Annabella Lks', 'Americus, Ar, 37389', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('835 Cosmogonic Nck', 'Falls village, Fm, 66882', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1937 Puler Trafficway', 'Hodge, Tn, 62619', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('433 Boom Bypa', 'Barnegat light, Il, 39790', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1014 Nonreductional Centers ', 'Herrick, Wv, 47889', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('730 Phaeophyceae Extension', 'Flat, As, 66487', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2407 Becursing Courts', 'Jennerstown, Me, 80976', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2745 Politicker Villiage', 'Sistersville, Mt, 85506', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1003 Rundown Brg', 'Pequannock, Ks, 87736', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1244 Agonia Spurs', 'Hammond, Nh, 80094', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('784 Squaremen Ridges', 'Angie, Ms, 72917', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1909 Dauntingness Shores', 'Navarre, Az, 16109', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1033 Boltlike Bayoo', 'Fort lyon, Ia, 15059', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2180 Mean-spiritedly Crossing ', 'Wellesley hills, Il, 95420', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('764 Allowedly Rdgs', 'Pheba, Ga, 57292', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1042 Entitles Viadct', 'Toano, Mn, 44523', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1116 Unlinking Forge', 'Onsted, Id, 30778', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('880 Pintail Lock', 'Nipomo, Wv, 75800', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('466 Outcasts Vly', 'West harrison, Ma, 19427', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2454 Entwite Dale ', 'Hahira, Ca, 27557', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1554 Cargoose Crossroad', 'O kean, Or, 34001', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1189 Campylotropous Underpass', 'Osage beach, Nd, 43888', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('265 Sheathbill Ferry', 'Brandsville, Wa, 19697', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2238 Keen-o Wls', 'Mizpah, Sd, 55825', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2939 Radioscopic Sprng', 'Newmarket, Nm, 58220', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('276 Psalming Throughway', 'Vacaville, Ks, 31230', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1577 Bohmite Station', 'Dairy, Gu, 53769', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1978 Goutify Mt', 'Palouse, Ak, 78763', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('188 Monotonic Valley', 'Mulino, , 17792', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2906 Waisted Hollows', 'Rutledge, Vt, 77962', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('714 Railways Tunnel', 'Dodge center, Wa, 55299', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2686 Strenta Manor', 'Kingsport, , 43947', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1649 Ill-found Throughway', 'Santa claus, Ny, 26461', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2721 Samau Gardens', 'Ponca city, As, 63494', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1860 Flowerful Plaza', 'Sledge, Fm, 73335', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('180 Loory Ctr', 'Hitchins, Ap, 10782', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('743 Hill-surrounded Pine', 'Abingdon, Wa, 88609', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2758 Trommel Vdct', 'Niobe, Ga, 30782', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2061 Gastrulate Sumitt', 'Etoile, Wi, 11571', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2601 Swopped Lf', 'New ulm, Vi, 90536', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2975 Myosotises Turnpike', 'Edinburgh, Fm, 24155', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('839 Reforecast Corners', 'Charlton city, Az, 39887', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2809 Manicurist Ville', 'Laurelton, Nv, 45410', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2544 Highboys Garden', 'Moss, Sd, 20972', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2597 Whoas Statn', 'Hobgood, Ms, 93692', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1756 Cosmologists Grov', 'Dunedin, Tx, 68718', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('735 Avalokitesvara Ky', 'Byesville, Ne, 22244', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2903 Rummery Cen', 'Galien, Il, 93526', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1435 Isobutyraldehyde Frk', 'Cedarcreek, Ok, 39046', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('162 Xerophyllum Arcade ', 'Gideon, Wy, 81197', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1254 Acarines Iss', 'Helmetta, La, 66223', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2580 Metabits Div', 'Aston, , 77721', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1837 Wind-clipped Crsent', 'Sloan, Fl, 64697', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1917 Overblaze Crsent', 'Gainesboro, Az, 92107', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('414 Underpays Ln', 'Fruitland, Wv, 15232', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1271 Chloralism Mt', 'Ocate, Mn, 45071', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2935 Silcrete Crossing ', 'New stanton, Or, 76590', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('780 Nontherapeutical Locks', 'Baileyton, Az, 21936', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('479 Blissfield Orch', 'Duffield, Ap, 96783', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('934 Disturbed Inlt', 'Meridian, De, 97843', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2906 Keitloa Avenu', 'Buda, Gu, 95904', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2732 Mapache Spng', 'New smyrna beach, Mh, 36652', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1708 Bed-clothes Junction', 'Haddon township, Oh, 91547', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2286 Supergoddess Estate', 'Fishers hill, Mo, 35150', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2771 Toquilla Cir', 'Beaman, Mt, 39191', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2614 Diazenithal Frd', 'Cressona, Ma, 85568', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2088 Umbos Shls', 'Hamel, Ne, 17219', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1017 Barocchio Trnpk', 'Witts springs, Ri, 84791', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('74 Monstrator Spurs', 'Pinehurst, , 64709', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1241 Proallotment Gateway', 'Hobe sound, Ky, 12918', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2574 Porridgelike Cswy', 'Okay, Ga, 84007', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('97 Misappropriate Plns', 'Brooklandville, Az, 26519', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('474 Philorthodox Knoll', 'Manahawkin, , 59414', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('422 Vintlite Loops', 'Cainsville, Mn, 66291', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2307 Refractorily Prairie', 'French settlement, Tn, 31174', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('921 Lunchhook Sqre', 'Claymont, Nm, 33304', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1128 Wine-stuffed Gln', 'Jacobs creek, Wy, 30218', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2985 Kyklops Points', 'Medicine park, Md, 52915', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('694 Synanthrose Circle', 'Good thunder, Wi, 12621', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1355 Cryptoanalytically Fork', 'Pleasant dale, In, 96900', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('235 Uncorpulent Spur', 'Calvert, Ak, 90060', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('688 Cowrites Frry', 'Cool ridge, Oh, 76895', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('440 Azure-canopied Islnds', 'Lake hubert, Al, 37615', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('257 Excavated Driv', 'Grand canyon, Wy, 62239', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1638 Lion-footed Court', 'Rockwall, , 52241', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('378 Inferably Plaza', 'Quemado, Wy, 89834', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2875 Promerger Crsent', 'Saunderstown, Mo, 75134', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('588 Invasiveness Av', 'Maplewood, Wv, 54087', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2861 Modestly Byps', 'Reedy, Nj, 92872', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('804 Dirigible Crossroads', 'Kendleton, Ap, 80304', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2040 Errableness Crcl', 'Harriman, , 14694', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2627 Seeds Junction', 'Springfield, Id, 78987', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2601 Tammara Tunnels', 'High ridge, Mo, 28300', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2253 Actinophorous Viadct', 'Pasadena, Sd, 64788', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('153 Raygrass Spurs', 'Perkasie, Ak, 14315', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2881 Anisettes Pt', 'Milldale, Ia, 14310', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('681 Nonpolar Bayoo', 'Elk creek, Oh, 40244', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('120 Rowels Is', 'Medicine lake, Mt, 86895', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('22 Arizonite Union', 'Ottine, Ca, 55940', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('977 Underlinement Ranch', 'Sudlersville, Id, 73669', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2064 Chromogen Shoar', 'Saint paul, Gu, 20364', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2905 Damnifying Shl', 'Rio grande, Nd, 47675', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('248 Idrialite Crsent', 'Huxley, Md, 75371', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1697 Gardenwards Gatway', 'Shelbyville, Nv, 47480', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('144 Geoprobe Branch', 'Camillus, Tn, 50901', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2141 Euton Trlrs', 'Balaton, , 28062', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2228 Aphyllous Circles', 'Poca, Nm, 44271', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2762 Positivist Trails', 'Peace dale, Ar, 37914', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('900 Up-and-downy Dvd', 'New berlinville, Ri, 20150', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('737 Daedalist Drive', 'Poplar bluff, Id, 62657', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2238 Own Forest', 'Weinert, Wy, 47830', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1944 Crabbed Bch', 'Tappan, Fl, 56704', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1925 Pibcorn Ridge', 'Louann, Me, 21949', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1799 Darn Prt', 'Scuddy, Ma, 74937', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1958 Biovular Forks', 'Crary, Mt, 74011', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1007 Rhomboidly Lake', 'Vestal, Mt, 67465', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2447 Wide-faced Lk', 'Inavale, Ri, 77055', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2130 Ossified Vlys', 'Montverde, Ut, 91919', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1855 Supersovereign Brdge', 'White horse beach, Ok, 39194', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2215 Dalteen Way', 'Irwinville, De, 99340', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('230 Sethead Crsent', 'Doerun, Pr, 25095', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1746 Jessore Dale ', 'Moshannon, , 79829', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1649 Tautologically Hollow', 'Pilot rock, Vi, 36169', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('338 Burfish Parkways', 'Killingworth, Ks, 16707', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1469 Subentitling Anx', 'Alfred station, Nm, 28084', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('289 Vernix Riv', 'Whitmore lake, Ar, 81960', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('182 Galyak Squ', 'Carlos, Gu, 29634', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2597 Parked Bypa', 'Waubay, Ok, 34011', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('890 Sonchus Hls', 'Doddsville, Hi, 13826', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2530 Blockmaker Wls', 'Interlochen, In, 83849', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('578 Ephoric Lake', 'Chappell hill, Dc, 88938', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('967 Juttying Mt', 'Angier, Sd, 79006', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1215 Popular-priced Cnyn', 'Wanblee, La, 49191', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2695 Anesthetizes Trks', 'Sandy creek, , 40785', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2069 Nonpenetrably Turnpk', 'Jekyll island, Ne, 77459', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2905 Grails Orch', 'Locust fork, Mp, 18853', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2079 Phenanthrenequinone Statn', 'Madawaska, Mo, 38716', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2129 Metachemistry Ln', 'Dorena, Tx, 44495', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1927 Squalidness Islnd', 'Cash, Vt, 65571', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2817 Superlactation Rnchs', 'Caruthersville, Wi, 27512', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1192 Tunnellers Flat', 'Hoyt lakes, Ut, 21383', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('461 Kimmy Jctn', 'Platter, Ok, 49827', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('642 Sylphlike Pl', 'Gazelle, Gu, 97601', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('959 Antechurch Cts', 'Idanha, Id, 23824', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('560 Painters Bayoo', 'Gassaway, As, 77977', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1134 Detruncating Fry', 'Spring garden, Mh, 33055', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1307 Brucellosis Lgt', 'Brackney, Fl, 93795', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1964 Boole Ovl', 'Everest, Vt, 71716', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2499 Pro-asian Mssn', 'Embarrass, Ga, 23300', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1752 Counting Prts', 'Citrus heights, Mp, 24246', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1934 Epihydrinic Est', 'Kamrar, Mh, 46656', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1703 Decaffeinates Kys', 'Texhoma, Or, 17794', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1765 Well-fancied Walk', 'Sea island, Sc, 69015', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('915 Levasy Jction', 'Lindsay, , 21819', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('348 Condonations Spur', 'Boody, Wv, 96307', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2605 Photopile Coves', 'Tensed, Nm, 86492', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1600 Advents Shoar', 'Sturgeon, Ks, 80619', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('859 Freudism Avnue', 'Southern md facility, Mi, 29229', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1550 Chandlers Gatewy', 'North providence, , 96256', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('401 Twice-seized Greens', 'Fbi, Hi, 92541', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('825 Substructures Viadct', 'Indio, Ap, 81143', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('364 Pandemoniacal Circ', 'Empire, Pa, 75895', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('49 Tahuya Rpd', 'Reedsport, Il, 73290', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2852 Twice-poisoned Orch', 'Georgetown, Ma, 41330', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2433 Louchettes Land', 'Penasco, Tx, 25220', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1111 Unperforate Crcl', 'Round lake, Al, 26042', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('606 Snidely Driv', 'North webster, Gu, 29463', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1042 Slack-bake Lks', 'Medicine bow, Nv, 53028', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('823 Plainsmen Grov', 'Hemingway, Wa, 51714', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('638 Unravel Frway', 'Mc daniels, , 38623', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2689 Guet-apens Vdct', 'South fulton, Sc, 35169', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2911 Trefoil Vlly', 'Vandervoort, Il, 51482', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2281 Wags Arcade ', 'Wellfleet, Fl, 26374', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('491 Justifiableness Expy', 'Linden, Md, 82444', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('479 Conspecies Hollow', 'Moultonborough, Vt, 69296', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1083 Roborants Hills', 'Cantil, , 14370', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2897 Physonectous Sprngs', 'Quail valley, Vi, 67607', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1067 Interscapular Terr', 'Connersville, Pr, 53519', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2383 Combaron Boul', 'Rabun gap, Az, 28685', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2512 Ballistocardiograph Strm', 'Friedensburg, Va, 18861', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1790 Well-frequented Avnue', 'Minerva, Nc, 56296', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('956 Untroddenness Rest', 'Chetek, Ap, 51567', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2927 Designable Fls', 'Salt point, Vi, 22360', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2177 Large-bore Fork', 'Apple springs, Nv, 96242', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1315 Yankeeism Courts', 'Somersworth, Mh, 12853', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('964 Ponticellos Locks', 'Noxon, Sd, 78808', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('315 Lathes Sqrs', 'Montverde, Nh, 71690', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('201 Safemaking Clf', 'Elbing, Mh, 63309', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2760 Vey Crsnt', 'Universal city, Ga, 98323', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('335 Midparentage Frwy', 'Startex, Nd, 76489', '');
