insert into places(address_line_one, address_line_two, notes) VALUES ('655 Messengership Locks', 'Wanchese, Al, 66005', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('0 Wulder Riv', 'Tappen, La, 89856', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('495 Driveler Mtn', 'Dolomite, , 72851', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('413 Unretained Rad', 'Rockport, Md, 52868', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2105 Panspermist Avenu', 'Buffalo creek, Gu, 26445', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2132 Dunter Lndg', 'Goldvein, Pw, 12955', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1379 Micropterygidae Vw', 'Sacul, Pr, 13934', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('311 Discouraging Wls', 'Rembrandt, Pa, 98121', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2838 Twice-attempted Key', 'Kipnuk, Dc, 23222', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('808 Mc- Pike', 'New paris, Or, 80173', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2636 Workfolk Riv', 'Unicoi, Nd, 19741', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('700 Scibert Anx', 'Dix, Or, 37640', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2768 Hypothecater Holw', 'Ferndale, Ky, 54625', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2711 Reoxidised Hills', 'Mogadore, Ky, 87950', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2641 Backbencher Bnd', 'Tracy, As, 65051', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2746 Greb Ldg', 'San lorenzo, Vi, 15266', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1972 First-gotten Cove', 'Emlyn, Pa, 85580', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2361 Tored Dale ', 'Green river, Ia, 13851', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1380 Flumping Blf', 'Cisco, Tn, 11938', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('458 Acopyrine Strvnue', 'Waring, Ct, 37625', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('32 Sizeably Wy', 'Quinton, Ut, 85132', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('204 Zitis Meadows', 'East islip, Mp, 81706', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1958 Barragan Rest', 'Bath, In, 20337', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('896 Orkney Pines', 'Coleraine, Ct, 93705', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1625 Four-eyes Lake', 'Suncook, De, 90452', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2674 Intebred Fwy', 'Herrick, Ut, 93239', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('403 Uncoffin Cove', 'Hundred, Nh, 38013', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2519 Waywardness Frg', 'Seiad valley, Nv, 45481', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1353 Taenian Flats', 'Goodyear, Gu, 35260', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2901 Kurzawa Ft', 'Alexander city, Wv, 59033', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('194 Close-hooded Drive', 'Blanford, Nv, 57777', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2005 Plurilingual Mdw', 'Pike road, Pr, 12795', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2101 Raetic Avenue', 'Gridley, Ms, 64106', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2817 Reddish-haired Trailer', 'Patchogue, Nj, 20411', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('510 Yoghurts Dale ', 'Walthill, Vi, 60484', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('593 Micropsy Stream', 'Knapp, Ne, 48016', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1618 Metuchen Crk', 'Asu, Ma, 12536', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2958 Unwrung Xing ', 'Dema, Ks, 92146', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2577 Phonographically Circle', 'Norman park, Dc, 53652', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('880 Reannounce Prairie', 'Caseyville, Ms, 93491', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1093 Irrationalistic Spurs', 'Grygla, Ky, 23547', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2254 Conductorship Rue', 'West alexandria, Mn, 76152', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2728 Gyrations Ests', 'Harvest, Co, 11162', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1259 Underpriest Vl', 'Marionville, Ak, 37504', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('563 Malming Mnt', 'Butlerville, Ut, 47785', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2017 Bemartyr Brooks ', 'Grenville, Ct, 20244', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('104 Nobelist Jct', 'Midway park, Mo, 65687', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2247 Rachitome Cors', 'Glen allan, Wi, 44451', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1795 Seline Junctions', 'Burton, Tn, 21925', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('725 Mechanistic Ridges', 'Netc, Nh, 64486', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1070 Footboards Walk', 'Calexico, As, 55971', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1792 Ontogenetically Bnd', 'Bladenboro, Me, 49115', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1354 Laichs Mntn', 'Blue ridge summit, Nv, 51168', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1549 Delight Vdct', 'Mechanicsville, Mt, 73178', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1884 Limbiest Villg', 'Mooresboro, Or, 50048', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2186 Cold-store Wells', 'Rush center, Ny, 71935', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1944 Louys Springs', 'Rush valley, Or, 36515', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('822 Xanadu Route', 'Wimberley, Hi, 12488', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1226 Kurg Sqr', 'Blachly, Hi, 58647', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2481 Maplewood Straven', 'Wooster, Or, 58461', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2672 Full-to-full Passage', 'Von ormy, In, 26509', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2735 Gladis Fort', 'Lowell, Vt, 71362', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2366 Inspoken Trls', 'New pine creek, , 10933', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2911 Warhorse Strav', 'Mira loma, Fl, 42244', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2935 Eyebridled Island', 'Sheldahl, Ky, 61849', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('114 Verb Sqr', 'Las piedras, Fm, 71469', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('920 Hardback Landing', 'Skiatook, Mo, 87256', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2575 Praisably Dam ', 'Wildsville, De, 57792', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2379 Otaheitan Gardn', 'East taunton, Wy, 65844', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2543 Fascicularly Hollows', 'White horse beach, Ky, 24316', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('532 Flench Mews', 'Moore haven, Ae, 35974', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2555 Recriminatory Harbors', 'Basile, , 37805', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1050 Fly-boat Grove', 'Mountain ranch, Tx, 96663', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('793 Fossiled Spgs', 'Uniontown, Ap, 48088', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1786 Gastroparalysis Estates', 'Clatonia, Ri, 95868', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1205 Frownful Ranch', 'Basehor, Ky, 62046', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1019 Caenostylic Prk', 'Ocean isle beach, Nc, 35831', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('994 Sabulite Ests', 'Crisfield, Vt, 58490', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('485 Faveolate Street', 'Topton, Ri, 55253', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2821 Brachycranial Bch', 'Lyons, Ny, 97619', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2295 Unpopulousness Junction', 'Grover, Mp, 92156', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2730 Actinide Prt', 'Dowelltown, Ia, 65820', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1504 Escapeful Oval', 'Belle rose, Wv, 24208', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2532 Stamphead Prairie', 'Minco, Ms, 70546', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2202 Scrumption Strvn', 'Cut bank, Ky, 67354', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1121 Unskeptical Dvd', 'Silverpeak, Sd, 71615', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2976 Distributive Bayoo', 'Era, Mp, 69557', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1572 Look-alikes Forg', 'Newcastle, As, 97995', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1188 Algebras Tunnel', 'Kosciusko, Ak, 54471', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('912 Attica Driv', 'Lake mc donald, Ga, 21409', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1210 Omosternum Point', 'Clopton, Mh, 86097', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1712 Lathings Ct', 'Thorpe, Ap, 59875', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('59 Standpoints Tunl', 'Dillonvale, Wy, 72675', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2357 Newburg Crsent', 'Pen argyl, Pw, 27852', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1064 Bostangi Mews', 'Lyme, Mi, 45336', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('315 Subconsulship Gtway', 'Ozan, Fm, 32736', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1053 Unabandoned Ht', 'Pateros, Vt, 33480', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2685 Flavone Rapids', 'Runnemede, Vt, 44854', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2895 Pseudointellectual Shores', 'Robson, Ae, 39198', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('777 Turing Islnd', 'Fort loudon, Me, 52832', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('579 Tyremesis Underpass', 'Social circle, Co, 28983', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1667 Antilog Riv', 'Carnelian bay, Nh, 23276', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1044 Cottontails Via', 'Bellerose, Ky, 44779', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1538 Rhizomelic Prts', 'Scott air force base, , 35522', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2208 Inferofrontal Neck', 'South el monte, Mi, 33088', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1778 Kustanai Vlly', 'West burlington, Id, 44469', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('773 Hystricid Pkwys', 'King hill, Mo, 59906', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('595 Adenohypophyseal Vlly', 'Charleroi, Nh, 20016', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1167 Sinkers Riv', 'Redondo beach, In, 24786', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2473 Reddle Cv', 'Moore, Oh, 40728', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('812 Isochimenal Drive', 'Kalida, Ri, 67020', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2980 Inverebrate Allee', 'Guayama, Mh, 24625', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2904 Unfeedable Avenu', 'Johnsonburg, Hi, 17096', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1761 Dermatopathology Falls', 'Cedarpines park, Me, 40431', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2347 Predoctorate Pt', 'La pryor, Ms, 19329', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('326 Langreo Orchard', 'Altonah, De, 81854', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('519 Platonist Sq', 'Huntington mills, Hi, 88802', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2751 Fictionalization Mnt', 'Hoagland, Ca, 56698', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2996 Randsburg Manor', 'Fruitdale, Mt, 34715', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('886 Gurjan Lcks', 'Dakota city, Ne, 87691', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1036 Ectotrophic Strav', 'Rebuck, Ca, 99306', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2534 Lych-gate Sqr', 'Green camp, Vt, 88429', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('550 Transput Freeway', 'Reading center, As, 25639', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2280 Nagor Sumitt', 'New germany, Ia, 43328', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('125 Mullocks Bnd', 'Corder, , 96821', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1190 Subfractions Circles', 'Necedah, , 49458', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('273 Auftakt Pkway', 'Swansboro, Pw, 20480', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('20 Sottishness Circl', 'Doyline, Ap, 74715', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2917 Biland Bch', 'Boydton, Id, 91411', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1727 Air-drying Cmp', 'Donna, Hi, 78862', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('655 Lapwork Unions', 'Avenal, Or, 82978', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2039 Counterimitation Vist', 'Church hill, Fl, 14390', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1329 Unsecuredness Circl', 'New lexington, Nj, 52571', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2420 Swinger Spg', 'New britain, Ia, 18366', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2737 Ndebeles Express', 'Holly, Fl, 68461', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1048 Sphaeroma Radiel', 'Summerdale, Ia, 18989', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1209 Recumbent Alley', 'Rochelle, Nc, 86806', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2604 Urbification Blf', 'Estherville, Mo, 60995', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2299 Spue Harbr', 'Rincon, Mo, 39620', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('122 Soralium Key', 'Connerville, Wa, 40072', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1765 Hemangiomas Vista', 'Delia, Hi, 15581', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2901 Carucarius Harbors', 'Waterbury, Tn, 10645', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2690 Heart-sick Exts', 'Callaway, Pw, 52562', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1078 Foreboded Juncton', 'Hunlock creek, Ae, 77650', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('335 Dribbed Trl', 'Harlingen, Gu, 10060', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2773 Petrographers Streme', 'Rowlett, Az, 22964', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('577 Pike Ln', 'Dilley, Tx, 49365', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1946 Uncased Harbr', 'Lambert, Ar, 39718', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('389 Vaccinium Rdg', 'Bondsville, Me, 87648', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2975 Bopyrid Hollows', 'Mount saint joseph, Mo, 62832', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1565 Feodal Pkwy', 'Milton mills, Id, 74236', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('780 Law-hand Flat', 'Vassalboro, Az, 86862', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1947 Praemunientes Vly', 'Upperville, Pr, 99043', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2836 Bolshevization Canyn', 'Refton, Nh, 29635', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1402 Narratio Bluff', 'Batesville, Me, 68875', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1347 Worse-natured Hllw', 'Orondo, Ny, 13763', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2631 Decennia Ridge', 'Guilderland center, , 68637', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('502 Depressor Pkway', 'Benezett, Ae, 26301', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('946 Huger Keys', 'Mount holly springs, Va, 88780', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2350 Surangular Squ', 'Glen white, Oh, 70449', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('126 Spiritualisms Gatewy', 'Winterport, Hi, 42981', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('974 Pliant-bodied Bypass', 'Senath, Gu, 54201', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('689 Out-brag Knol', 'Eunice, Ne, 41502', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('429 Disfranchisers Forest', 'Stanfield, Ma, 67881', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2043 Unacceptant Rapid', 'Tranquillity, Wy, 27904', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('572 New-front Terr', 'Kennard, Mh, 39292', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2055 Pros Hl', 'Queensbury, Dc, 29816', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1515 Hot-bright Ter', 'Wesco, Co, 48383', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('319 Unprocure Spg', 'Glencliff, Nh, 87683', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2395 Overspeech Plz', 'Waite park, Wy, 72926', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('87 Talao Bluffs ', 'Boligee, Ne, 72568', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('979 Well-sketched Orch', 'Breesport, Ga, 46349', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('819 Profanableness Spng', 'Chamberino, Al, 86753', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2338 Apograph Smt', 'Maxwelton, , 40881', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1583 Spalled Gln', 'Hercules, Mh, 99025', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2910 Inculcates Squares', 'Niota, Ga, 83220', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2724 Grummest Row', 'Rocky, De, 77148', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1564 Scraperboard Coves', 'De graff, , 13184', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2316 Ixodian Holws', 'Beetown, Ae, 99555', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('124 Fluyt Av', 'Owyhee, Wv, 48748', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1120 Dead-air Paths', 'Tallulah falls, Tx, 12493', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('862 Tonguey Hiway', 'Ridgeville, Wy, 75906', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2575 Thionylamine Squares', 'Duson, Sd, 61079', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('753 Corine Grv', 'Lamy, Fm, 58272', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('986 Shoemake Well', 'Cowiche, Mt, 60268', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('501 Ros Cor', 'Oakridge, Mp, 81105', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('509 Preventtoria Park', 'Lenore, Mn, 66362', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('838 Presagers Views', 'Sioux falls, Wa, 80981', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('963 Epigraphic Villages', 'Holden, Nh, 69575', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2080 Imbody Rpd', 'Arion, Id, 53703', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2693 Rich-flavored Nck', 'Laingsburg, Ap, 88539', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2134 Squinnied Bend', 'Mary alice, Wy, 20740', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1781 Discophora Fork', 'Crooks, La, 86788', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1496 Matipo Cor', 'Eden valley, Ar, 30554', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1939 Pre-muslim Grove', 'Gage, Vt, 63739', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1764 Malkin Trls', 'Hubbard lake, Va, 28584', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2751 Neche Harbor', 'Maple springs, Il, 49747', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1178 Bouteria Freewy', 'Vineburg, Nd, 59456', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1650 Crated Strvnue', 'Pinesdale, Pr, 82973', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('221 Gilgamesh Islnd', 'Gwynedd, De, 96467', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('643 Earthrise Brook', 'Ezel, Nc, 52546', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('902 Polymolecular Wls', 'Cummington, Ok, 42182', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('906 Pred. Trailer', 'Woodbine, Sc, 66080', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1515 Unvascular Crk', 'Eddington, Wy, 22819', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1829 Marital Bayoo', 'Buena, Mt, 37589', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('351 Mattapony Rapids', 'Hearne, Mn, 24053', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2811 Abatis Jction', 'Forestburg, , 97449', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('216 Impersuasible Crescent', 'Galien, Ct, 84484', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2495 Mediastinal Vsta', 'Traphill, Il, 77274', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2700 Discrepencies Cnyn', 'Clara city, , 48729', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('255 Jete Rnch', 'New tazewell, Az, 80863', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2861 Whereabout Expr', 'Honey grove, Ok, 45459', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('55 Retorter Roads', 'Bracey, Nh, 68517', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2686 Ignorantly Cors', 'Coatesville, Ct, 46982', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2005 Alcapton Pnes', 'Red lion, Va, 50207', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2244 Percolative Pine', 'Dorothy, Ut, 71058', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1433 Peptotoxine Rpd', 'Chandlersville, Il, 72370', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2510 Nystagmus Flat', 'Shaniko, Mt, 48729', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1548 Immixes Forests', 'Federal way, Sc, 21467', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1279 Piece-dye Hts', 'Donora, , 29936', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2861 Pyroligneous Extn', 'Silver lake, Md, 70249', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('712 Grisled Vlg', 'Valley view, Gu, 60739', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('830 Word-painting Isle', 'Brundidge, Ne, 37169', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('789 Istachatta Est', 'Caratunk, Fm, 13408', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2452 Vomica Via', 'Fidelity, Pa, 97869', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2990 Psychony Way', 'Lake creek, Fm, 75314', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1932 Shir Streets', 'Show low, Va, 54387', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1690 Heritrix Green', 'La vernia, Pw, 17598', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('147 Keyseater Mntain', 'Kimberton, Co, 63780', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('670 Skited Junctions', 'Deer park, Ia, 27523', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1411 Un-americanism Tunnels', 'Francisco, Id, 78182', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('213 Sensationalism Forests', 'Laredo, Ny, 80110', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1852 Suicidical Tunnel', 'Indian river, Sd, 31250', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1214 Tros Strm', 'Kitty hawk, Ga, 87712', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1823 Adrenalectomies Way', 'Tazewell, Ks, 98792', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1492 Phrenicohepatic Manors', 'Mol, Va, 11684', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2810 Artichokes Branch', 'Camp pendleton, Vt, 28187', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2372 Emeryville Beach', 'Canyon creek, Va, 83615', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2587 Tydeus Junction', 'Bath springs, Ma, 97042', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('692 Sades Alley', 'Coffey, Sd, 12076', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('998 Manitu Grov', 'Herod, Ia, 34496', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('115 Nelumbo Ovl', 'Cowley, Va, 24188', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('458 Checkerboarding Camp', 'Gerry, De, 95215', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('871 Airliners Gardens', 'Des allemands, Va, 46740', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1485 Overmoralistic Xing ', 'Remus, Il, 80264', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2312 Firm-jawed Union', 'Roll, Co, 89356', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2078 Attornare Pikes', 'Taloga, Ga, 95499', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1354 Glorifying Trlrs', 'Brookport, Ma, 71226', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('977 Tetraborate Greens', 'Napoleon, Ap, 15657', '');
